Id,Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Rapid_Rise_Time,Biscuit_Thickness,Clamping_Force,Cycle_Time,Pressure_Rise_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Air_Pressure_Min,Air_Pressure_Max,Coolant_Temp,Coolant_Temp_Min,Coolant_Temp_Max,Coolant_Pressure,Factory_Temp,Factory_Temp_Min,Factory_Temp_Max,Factory_Humidity,Factory_Humidity_Min,Factory_Humidity_Max,Short_Shot_1,Bubble_1,Exfoliation_1,Blow_Hole_1,Stain_1,Dent_1,Deformation_1,Contamination_1,Impurity_1,Crack_1,Scratch_1,Buring_Mark_1,Inclusions_1,Short_Shot_2,Bubble_2,Exfoliation_2,Blow_Hole_2,Stain_2,Dent_2,Deformation_2,Contamination_2,Impurity_2,Crack_2,Scratch_2,Buring_Mark_2,Inclusions_2,Vel_1_2_Diff,Vel_2_3_Diff,Vel_Total_Range,Any_Defect
4217021,2,21,0.158,0.164,0.205,2.7,264,0.014,18,355,36.3,0.041,594,12.5,2.0,2.2,670.1,6.0,3,9,26.2,10,50,2.69,33.9,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006000000000000005,0.04099999999999998,2.5420000000000003,0
4218022,2,22,0.142,0.162,0.206,2.698,264,0.012,19,357,36.4,0.041,595,12.5,2.0,2.2,670.1,6.0,3,9,26.2,10,50,2.69,33.9,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020000000000000018,0.043999999999999984,2.556,0
4219023,2,23,0.147,0.174,0.205,2.694,264,0.009,20,357,36.4,0.041,595,12.5,2.0,2.2,668.7,6.0,3,9,26.2,10,50,2.71,33.9,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026999999999999996,0.031,2.547,0
4220024,2,24,0.152,0.17,0.206,2.691,264,0.011,19,357,36.5,0.042,595,12.5,2.0,2.2,668.7,6.0,3,9,26.2,10,50,2.71,33.9,18.0,22.0,55.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018000000000000016,0.035999999999999976,2.5389999999999997,0
4221025,2,25,0.15,0.168,0.21,2.705,264,0.011,20,357,36.4,0.042,595,12.4,2.0,2.2,667.0,5.9,3,9,26.2,10,50,2.71,33.8,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018000000000000016,0.04199999999999998,2.555,0
4222026,2,26,0.157,0.168,0.216,2.691,264,0.012,20,357,36.4,0.044,594,12.4,2.0,2.2,665.9,5.8,3,9,26.2,10,50,2.7,33.8,18.0,22.0,56.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01100000000000001,0.04799999999999999,2.534,0
4223027,2,27,0.157,0.166,0.21,2.713,265,0.012,19,359,36.4,0.041,595,12.4,2.0,2.2,665.9,5.8,3,9,26.2,10,50,2.7,33.8,18.0,22.0,56.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009000000000000008,0.043999999999999984,2.556,0
4224028,2,28,0.157,0.17,0.204,2.724,265,0.011,19,361,36.4,0.041,595,12.4,2.0,2.2,665.4,5.8,3,9,26.2,10,50,2.71,33.7,18.0,22.0,56.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013000000000000012,0.033999999999999975,2.567,0
4225029,2,29,0.146,0.162,0.198,2.722,265,0.011,18,359,36.4,0.042,595,12.4,2.0,2.2,665.4,5.8,3,9,26.2,10,50,2.71,33.7,18.0,22.0,56.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016000000000000014,0.036000000000000004,2.576,0
4226030,2,30,0.158,0.162,0.206,2.727,264,0.011,16,348,36.4,0.041,594,12.4,2.0,2.2,664.5,5.7,3,9,26.2,10,50,2.7,33.8,18.0,22.0,55.9,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040000000000000036,0.043999999999999984,2.569,0
4227031,2,31,0.152,0.164,0.203,2.724,264,0.014,18,348,36.4,0.041,595,12.4,2.0,2.2,664.4,5.6,3,9,26.2,10,50,2.7,33.8,18.0,22.0,55.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01200000000000001,0.03900000000000001,2.572,0
